Product Code,Product Name,Product Description,Stock,Cost in GBP,Discontinued
P0001,TV,32” Tv,10,399.99,
P0001,TV,32” Tv,10,399.99,
P0001,TV,32” Tv,10,399.99,
P0002,Cd Player,Nice CD player,11,50.12,yes
P0003,VCR,Top notch VCR,12,39.33,yes
P0004,Bluray Player,Watch it in HD,1,24.55,
P0005,XBOX360,Best.console.ever,5,30.44,
P0006,PS3,Mind your details,3,24.99,
P0007,24” Monitor,Awesome,,35.99,
P0008,CPU,Speedy,12,25.43,
P0009,Harddisk,Great for storing data,0,99.99,
P0010,CD Bundle,Lots of fun,0,10,
P0011,Misc Cables,error in export,,,
P0012,TV,HD ready,45,50.55,
P0013,Cd Player,Beats MP3,34,27.99,
P0014,VCR,VHS rules,3,23,yes
P0015,Bluray Player,Excellent picture,32,$4.33,
P0015,Bluray Player,Excellent picture,32,4.33,
P0016,24” Monitor,Visual candy,3,45,
P0017,CPU,Processing power, ideal for multimedia,4,4.22
P0018,Harddisk,More storage options,34,50,yes
P0019,CD Bundle,Store all your data. Very convenient,23,3.44,
P0020,Cd Player,Play CD's,56,30,
P0021,VCR,Watch all those retro videos,12,3.55,yes
P0022,Bluray Player,The future of home entertainment!,45,3,
P0023,XBOX360,Amazing,23,50,
P0024,PS3,Just don't go online,22,24.33,yes
P0025,TV,Great for television,21,40,
P0026,Cd Player,A personal favourite,0,34.55,
P0027,VCR,Plays videos,34,1200.03,yes
P0028,Bluray Player,Plays bluray's,32,1100.04,yes
P0029,TV,33” Tv,11,400.99,
P0030,Cd Player,Nice CD player,12,51.12,yes
P0031,VCR,Top notch VCR,13,40.33,yes
P0032,Bluray Player,Watch it in HD,2,25.55,
P0033,XBOX361,Best.console.ever,6,31.44,
P0034,PS4,Mind your details,4,25.99,
P0035,25” Monitor,Awesome,,36.99,
P0036,CPU,Speedy,13,26.43,
P0037,Harddisk,Great for storing data,1,100.99,
P0038,TV,33” Tv,11,400.99,
P0039,Cd Player,Nice CD player,12,51.12,yes
P0040,Product Name,Product Description,Stock,Cost in GBP,Discontinued
P0041,TV,33” Tv,11,400.99,
P0042,Cd Player,Nice CD player,12,51.12,yes
P0043,VCR,Top notch VCR,13,40.33,yes
P0044,Bluray Player,Watch it in HD,2,25.55,
P0045,XBOX361,Best.console.ever,6,31.44,
P0046,PS4,Mind your details,4,25.99,
P0047,25” Monitor,Awesome,,36.99,
P0048,CPU,Speedy,13,26.43,
P0049,Harddisk,Great for storing data,1,100.99,
P0050,CD Bundle,Lots of fun,1,11,
P0051,Misc Cables,error in export,,,
P0052,TV,HD ready,46,51.55,
P0053,Cd Player,Beats MP4,35,28.99,
P0054,VCR,VHS rules,4,24,yes
P0055,Bluray Player,Excellent picture,33,$4.34,
P0056,Bluray Player,Excellent picture,33,5.33,
P0057,25” Monitor,Visual candy,4,46,
P0058,CPU,Processing power, ideal for multimedia,5,5.22
P0059,Harddisk,More storage options,35,51,yes
P0060,CD Bundle,Store all your data. Very convenient,24,4.44,
P0061,Cd Player,Play CD's,57,31,
P0062,VCR,Watch all those retro videos,13,4.55,yes
P0063,Bluray Player,The future of home entertainment!,46,4,
P0064,XBOX361,Amazing,24,51,
P0065,PS4,Just don't go online,23,25.33,yes
P0066,TV,Great for television,22,41,
P0067,Cd Player,A personal favourite,1,35.55,
P0068,VCR,Plays videos,35,1201.03,yes
P0069,Bluray Player,Plays bluray's,33,1101.04,yes
P0070,TV,34” Tv,12,401.99,
P0071,Cd Player,Nice CD player,13,52.12,yes
P0072,VCR,Top notch VCR,14,41.33,yes
P0073,Bluray Player,Watch it in HD,3,26.55,
P0074,XBOX362,Best.console.ever,7,32.44,
P0075,PS5,Mind your details,5,26.99,
P0076,26” Monitor,Awesome,,37.99,
P0077,CPU,Speedy,14,27.43,
P0078,Harddisk,Great for storing data,2,101.99,
P0079,TV,34” Tv,12,401.99,
P0080,Cd Player,Nice CD player,13,52.12,yes
P0081,Product Name,Product Description,Stock,Cost in GBP,Discontinued
P0082,TV,34” Tv,12,401.99,
P0083,Cd Player,Nice CD player,13,52.12,yes
P0084,VCR,Top notch VCR,14,41.33,yes
P0085,Bluray Player,Watch it in HD,3,26.55,
P0086,XBOX362,Best.console.ever,7,32.44,
P0087,PS5,Mind your details,5,26.99,
P0088,26” Monitor,Awesome,,37.99,
P0089,CPU,Speedy,14,27.43,
P0090,Harddisk,Great for storing data,2,101.99,
P0091,CD Bundle,Lots of fun,2,12,
P0092,Misc Cables,error in export,,,
P0093,TV,HD ready,47,52.55,
P0094,Cd Player,Beats MP5,36,29.99,
P0095,VCR,VHS rules,5,25,yes
P0096,Bluray Player,Excellent picture,34,$4.35,
P0097,Bluray Player,Excellent picture,34,6.33,
P0098,26” Monitor,Visual candy,5,47,
P0099,CPU,Processing power, ideal for multimedia,6,6.22
P0100,Harddisk,More storage options,36,52,yes
P0101,CD Bundle,Store all your data. Very convenient,25,5.44,
P0102,Cd Player,Play CD's,58,32,
P0103,VCR,Watch all those retro videos,14,5.55,yes
P0104,Bluray Player,The future of home entertainment!,47,5,
P0105,XBOX362,Amazing,25,52,
P0106,PS5,Just don't go online,24,26.33,yes
